date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:05:52	258881/258881	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html	D:/code%20visual/Html%20basic/final/petshop/themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html	(from )
22:05:52	31/31	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Aug%202018%2016:00:10%20GMT	https://themes.pixelstrap.com/robots.txt		(from )
22:05:52	404/404	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/favicon/1.png	D:/code%20visual/Html%20basic/final/petshop/themes.pixelstrap.com/fastkart/assets/images/favicon/1.png	(from https://themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html)
22:05:52	197580/197580	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Feb%202024%2007:27:07%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/vendors/bootstrap.css	D:/code%20visual/Html%20basic/final/petshop/themes.pixelstrap.com/fastkart/assets/css/vendors/bootstrap.css	(from https://themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html)
22:05:52	63504/63504	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:05%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/animate.min.css	D:/code%20visual/Html%20basic/final/petshop/themes.pixelstrap.com/fastkart/assets/css/animate.min.css	(from https://themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html)
22:05:53	7799/7799	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:05%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/bulk-style.css	D:/code%20visual/Html%20basic/final/petshop/themes.pixelstrap.com/fastkart/assets/css/bulk-style.css	(from https://themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html)
22:05:53	824227/824227	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Feb%202024%2007:27:03%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/style.css	D:/code%20visual/Html%20basic/final/petshop/themes.pixelstrap.com/fastkart/assets/css/style.css	(from https://themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html)
22:05:53	7078/7078	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/country/united-states.png	D:/code%20visual/Html%20basic/final/petshop/themes.pixelstrap.com/fastkart/assets/images/country/united-states.png	(from https://themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html)
22:05:53	3536/3536	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/country/united-kingdom.png	D:/code%20visual/Html%20basic/final/petshop/themes.pixelstrap.com/fastkart/assets/images/country/united-kingdom.png	(from https://themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html)
22:05:54	659/659	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/country/germany.png	D:/code%20visual/Html%20basic/final/petshop/themes.pixelstrap.com/fastkart/assets/images/country/germany.png	(from https://themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html)
